Name,Electorate,Party
"COKER, Christopher",Auckland Central,Aotearoa Legalise Cannabis Party
"DAVIE, Paul",Auckland Central,Rock the Vote NZ
"KANE, Madeleine",Auckland Central,Animal Justice Party
"LIU, Andi Shen",Auckland Central,Independent
"MURALIDHAR, Mahesh",Auckland Central,National Party
"POOLE, Felix",Auckland Central,ACT New Zealand
"SIMS, Oscar",Auckland Central,Labour Party
"SLOCUM, Guy Dennis",Auckland Central,New Nation Party
"SWARBRICK, Chlöe",Auckland Central,Green Party
"SYCAMORE, Damian",Auckland Central,The Opportunities Party (TOP)
"ALLINGTON, Doug",Banks Peninsula,DemocracyNZ
"JEET, Paran",Banks Peninsula,Animal Justice Party
"KERSLAKE, Lindsay",Banks Peninsula,New Zealand First Party
"McLELLAN, Tracey",Banks Peninsula,Labour Party
"MEAD, Lisa Marie",Banks Peninsula,NewZeal
"PHAM, Lan",Banks Peninsula,Green Party
"TRASK, Laura",Banks Peninsula,ACT New Zealand
"WAKEMAN, Peter Keith",Banks Peninsula,Independent
"WEENINK, Vanessa",Banks Peninsula,National Party
"GILLESPIE, Wendy",Bay of Plenty,Leighton Baker Party
"GRATTAN, Caitlin",Bay of Plenty,Animal Justice Party
"LUXTON, Cameron",Bay of Plenty,ACT New Zealand
"MACMILLAN, Matthew",Bay of Plenty,Green Party
"MURFITT, Kirsten",Bay of Plenty,New Zealand First Party
"RUTHERFORD, Tom",Bay of Plenty,National Party
"TAIKATO, Pare",Bay of Plenty,Labour Party
"WAHED, Taupo",Bay of Plenty,Independent
"ARMSTRONG, John",Botany,New Zealand Loyal
"BURNS, Bo",Botany,ACT New Zealand
"DE BOER, Dieuwe",Botany,New Conservatives
"LUXON, Christopher",Botany,National Party
"McNEIL, Robert",Botany,Animal Justice Party
"SINGH, Kharag",Botany,Labour Party
"ARNEIL, Mark",Christchurch Central,New Zealand First Party
"BRITNELL, Michael",Christchurch Central,Aotearoa Legalise Cannabis Party
"CARTER, Kahurangi",Christchurch Central,Green Party
"FISKEN, Matthew Hunter",Christchurch Central,ACT New Zealand
"JACKSON, Sarah",Christchurch Central,Animal Justice Party
"STEPHENS, Dale Aotea",Christchurch Central,National Party
"WEBB, Duncan",Christchurch Central,Labour Party
"AHMED, Sahra",Christchurch East,Green Party
"DAVIDSON, Reuben",Christchurch East,Labour Party
"HOUGHTON, Helen",Christchurch East,New Conservatives
"LAMBERT, Paula",Christchurch East,Aotearoa Legalise Cannabis Party
"PARK, Sam",Christchurch East,Independent
"SEVERIN, Toni",Christchurch East,ACT New Zealand
"STOCK, Matt",Christchurch East,National Party
"WERETA, Danette",Christchurch East,Animal Justice Party
"WIREMU, Shane",Christchurch East,New Zealand First Party
"ANSELL, Caleb",Coromandel,New Zealand First Party
"COBB, Ray",Coromandel,New Zealand Loyal
"GREALEY, Pamela",Coromandel,Green Party
"RILEY, Beryl",Coromandel,Labour Party
"SIMPSON, Scott",Coromandel,National Party
"TEPOU, Sarai",Coromandel,NZ Outdoors & Freedom Party
"VERBURG, Joanna",Coromandel,ACT New Zealand
"BROOKING, Rachel",Dunedin,Labour Party
"ELDER, Cyndee",Dunedin,New Conservatives
"HERNANDEZ, Francisco",Dunedin,Green Party
